concept,stimulus_idx,split
Ability,1,1
Ability,2,1
Ability,3,2
Ability,4,2
Ability,5,1
Ability,6,2
Accomplished,1,1
Accomplished,2,1
Accomplished,3,2
Accomplished,4,2
Accomplished,5,1
Accomplished,6,2
Angry,1,1
Angry,2,1
Angry,3,1
Angry,4,2
Angry,5,2
Angry,6,2
Apartment,1,1
Apartment,2,2
Apartment,3,1
Apartment,4,1
Apartment,5,2
Apartment,6,2
Applause,1,1
Applause,2,2
Applause,3,1
Applause,4,1
Applause,5,2
Applause,6,2
Argument,1,1
Argument,2,1
Argument,3,2
Argument,4,2
Argument,5,2
Argument,6,1
Argumentatively,1,1
Argumentatively,2,1
Argumentatively,3,2
Argumentatively,4,2
Argumentatively,5,2
Argumentatively,6,1
Art,1,1
Art,2,2
Art,3,1
Art,4,1
Art,5,2
Art,6,2
Attitude,1,1
Attitude,2,1
Attitude,3,2
Attitude,4,1
Attitude,5,2
Attitude,6,2
Bag,1,1
Bag,2,2
Bag,3,1
Bag,4,1
Bag,5,2
Bag,6,2
Ball,1,1
Ball,2,1
Ball,3,2
Ball,4,2
Ball,5,1
Ball,6,2
Bar,1,1
Bar,2,2
Bar,3,2
Bar,4,1
Bar,5,1
Bar,6,2
Bear,1,1
Bear,2,1
Bear,3,1
Bear,4,2
Bear,5,2
Bear,6,2
Beat,1,1
Beat,2,1
Beat,3,1
Beat,4,2
Beat,5,2
Beat,6,2
Bed,1,1
Bed,2,2
Bed,3,1
Bed,4,1
Bed,5,2
Bed,6,2
Beer,1,1
Beer,2,1
Beer,3,2
Beer,4,2
Beer,5,1
Beer,6,2
Big,1,1
Big,2,1
Big,3,2
Big,4,1
Big,5,2
Big,6,2
Bird,1,1
Bird,2,1
Bird,3,1
Bird,4,2
Bird,5,2
Bird,6,2
Blood,1,1
Blood,2,2
Blood,3,1
Blood,4,2
Blood,5,1
Blood,6,2
Body,1,1
Body,2,2
Body,3,2
Body,4,1
Body,5,1
Body,6,2
Brain,1,1
Brain,2,1
Brain,3,2
Brain,4,1
Brain,5,2
Brain,6,2
Broken,1,1
Broken,2,1
Broken,3,2
Broken,4,1
Broken,5,2
Broken,6,2
Building,1,1
Building,2,2
Building,3,1
Building,4,2
Building,5,2
Building,6,1
Burn,1,1
Burn,2,1
Burn,3,2
Burn,4,1
Burn,5,2
Burn,6,2
Business,1,1
Business,2,1
Business,3,2
Business,4,2
Business,5,1
Business,6,2
Camera,1,1
Camera,2,2
Camera,3,1
Camera,4,2
Camera,5,2
Camera,6,1
Carefully,1,1
Carefully,2,1
Carefully,3,1
Carefully,4,2
Carefully,5,2
Carefully,6,2
