run,stimulus,concept,stimulus_idx,onset
4,stim/wordclouds/concept134_help_wordcloud2,Help,2,10
4,stim/wordclouds/concept065_invention_wordcloud4,Invention,4,15
4,stim/wordclouds/concept175_do_wordcloud3,Do,3,20
4,stim/wordclouds/concept003_bird_wordcloud1,Bird,1,25
4,stim/wordclouds/concept076_attitude_wordcloud1,Attitude,1,30
4,stim/wordclouds/concept063_ball_wordcloud3,Ball,3,35
4,stim/wordclouds/concept133_sound_wordcloud3,Sound,3,40
4,stim/wordclouds/concept016_challenge_wordcloud2,Challenge,2,45
4,stim/wordclouds/concept154_level_wordcloud5,Level,5,50
4,stim/wordclouds/concept102_disturb_wordcloud5,Disturb,5,55
4,stim/wordclouds/concept136_wear_wordcloud4,Wear,4,60
4,stim/wordclouds/concept070_sugar_wordcloud2,Sugar,2,65
4,stim/wordclouds/concept022_road_wordcloud6,Road,6,70
4,stim/wordclouds/concept031_cook_wordcloud6,Cook,6,75
4,stim/wordclouds/concept043_experiment_wordcloud4,Experiment,4,80
4,stim/wordclouds/concept129_job_wordcloud1,Job,1,85
4,stim/wordclouds/concept008_taste_wordcloud1,Taste,1,90
4,stim/wordclouds/concept176_smiling_wordcloud4,Smiling,4,95
4,stim/wordclouds/concept045_pig_wordcloud2,Pig,2,100
4,stim/wordclouds/concept064_economy_wordcloud2,Economy,2,105
4,stim/wordclouds/concept128_impress_wordcloud4,Impress,4,110
4,stim/wordclouds/concept137_picture_wordcloud1,Picture,1,115
4,stim/wordclouds/concept178_ignorance_wordcloud4,Ignorance,4,120
4,stim/wordclouds/concept170_elegance_wordcloud2,Elegance,2,125
4,stim/wordclouds/concept049_solution_wordcloud4,Solution,4,130
4,stim/wordclouds/concept055_gun_wordcloud6,Gun,6,135
4,stim/wordclouds/concept006_great_wordcloud4,Great,4,140
4,stim/wordclouds/concept014_silly_wordcloud3,Silly,3,145
4,stim/wordclouds/concept157_news_wordcloud4,News,4,150
4,stim/wordclouds/concept121_law_wordcloud2,Law,2,155
4,stim/wordclouds/concept145_tree_wordcloud4,Tree,4,160
4,stim/wordclouds/concept174_computer_wordcloud2,Computer,2,165
4,stim/wordclouds/concept050_big_wordcloud5,Big,5,170
4,stim/wordclouds/concept132_stupid_wordcloud6,Stupid,6,175
4,stim/wordclouds/concept100_construction_wordcloud1,Construction,1,180
4,stim/wordclouds/concept098_camera_wordcloud3,Camera,3,185
4,stim/wordclouds/concept090_doctor_wordcloud2,Doctor,2,190
4,stim/wordclouds/concept105_suspect_wordcloud4,Suspect,4,195
4,stim/wordclouds/concept074_ability_wordcloud3,Ability,3,200
4,stim/wordclouds/concept029_marriage_wordcloud1,Marriage,1,205
4,stim/wordclouds/concept080_driver_wordcloud4,Driver,4,210
4,stim/wordclouds/concept104_device_wordcloud3,Device,3,215
4,stim/wordclouds/concept126_war_wordcloud3,War,3,220
4,stim/wordclouds/concept048_burn_wordcloud2,Burn,2,225
4,stim/wordclouds/concept173_team_wordcloud3,Team,3,230
4,stim/wordclouds/concept085_texture_wordcloud2,Texture,2,245
4,stim/wordclouds/concept165_mechanism_wordcloud6,Mechanism,6,250
4,stim/wordclouds/concept086_successful_wordcloud3,Successful,3,255
4,stim/wordclouds/concept161_material_wordcloud5,Material,5,260
4,stim/wordclouds/concept167_sexy_wordcloud4,Sexy,4,265
4,stim/wordclouds/concept163_plan_wordcloud6,Plan,6,270
4,stim/wordclouds/concept146_accomplished_wordcloud4,Accomplished,4,275
4,stim/wordclouds/concept028_counting_wordcloud6,Counting,6,280
4,stim/wordclouds/concept078_charity_wordcloud4,Charity,4,285
4,stim/wordclouds/concept143_religious_wordcloud1,Religious,1,290
4,stim/wordclouds/concept162_toy_wordcloud5,Toy,5,295
4,stim/wordclouds/concept156_reaction_wordcloud1,Reaction,1,300
4,stim/wordclouds/concept108_movie_wordcloud4,Movie,4,305
4,stim/wordclouds/concept092_medication_wordcloud6,Medication,6,310
4,stim/wordclouds/concept067_weather_wordcloud6,Weather,6,315
4,stim/wordclouds/concept119_gold_wordcloud1,Gold,1,320
4,stim/wordclouds/concept039_sew_wordcloud2,Sew,2,325
4,stim/wordclouds/concept142_damage_wordcloud4,Damage,4,330
4,stim/wordclouds/concept155_extremely_wordcloud4,Extremely,4,335
4,stim/wordclouds/concept091_time_wordcloud6,Time,6,340
4,stim/wordclouds/concept019_broken_wordcloud1,Broken,1,345
4,stim/wordclouds/concept152_light_wordcloud3,Light,3,350
4,stim/wordclouds/concept107_smart_wordcloud4,Smart,4,355
4,stim/wordclouds/concept169_ship_wordcloud6,Ship,6,360
4,stim/wordclouds/concept094_philosophy_wordcloud3,Philosophy,3,365
4,stim/wordclouds/concept032_useless_wordcloud3,Useless,3,370
4,stim/wordclouds/concept140_brain_wordcloud6,Brain,6,375
4,stim/wordclouds/concept172_word_wordcloud1,Word,1,380
4,stim/wordclouds/concept007_illness_wordcloud2,Illness,2,385
4,stim/wordclouds/concept117_building_wordcloud1,Building,1,390
4,stim/wordclouds/concept066_dessert_wordcloud1,Dessert,1,395
4,stim/wordclouds/concept030_kindness_wordcloud3,Kindness,3,400
4,stim/wordclouds/concept144_relationship_wordcloud5,Relationship,5,405
4,stim/wordclouds/concept069_spoke_wordcloud4,Spoke,4,410
4,stim/wordclouds/concept180_argumentatively_wordcloud2,Argumentatively,2,415
4,stim/wordclouds/concept166_liar_wordcloud6,Liar,6,420
4,stim/wordclouds/concept017_sign_wordcloud5,Sign,5,425
4,stim/wordclouds/concept153_disease_wordcloud5,Disease,5,430
4,stim/wordclouds/concept012_protection_wordcloud4,Protection,4,435
4,stim/wordclouds/concept015_bed_wordcloud6,Bed,6,440
4,stim/wordclouds/concept106_play_wordcloud6,Play,6,445
4,stim/wordclouds/concept047_shape_wordcloud4,Shape,4,450
4,stim/wordclouds/concept010_bar_wordcloud4,Bar,4,455
4,stim/wordclouds/concept115_usable_wordcloud3,Usable,3,460
4,stim/wordclouds/concept131_election_wordcloud5,Election,5,465
6,stim/wordclouds/concept168_sin_wordcloud6,Sin,6,10
6,stim/wordclouds/concept097_tool_wordcloud3,Tool,3,15
6,stim/wordclouds/concept057_business_wordcloud2,Business,2,20
6,stim/wordclouds/concept079_event_wordcloud6,Event,6,25
6,stim/wordclouds/concept112_delivery_wordcloud1,Delivery,1,30
6,stim/wordclouds/concept084_professional_wordcloud5,Professional,5,35
6,stim/wordclouds/concept038_cockroach_wordcloud5,Cockroach,5,40
6,stim/wordclouds/concept109_movement_wordcloud4,Movement,4,45
6,stim/wordclouds/concept124_hurting_wordcloud4,Hurting,4,50
6,stim/wordclouds/concept068_king_wordcloud5,King,5,55
6,stim/wordclouds/concept147_quality_wordcloud2,Quality,2,60
6,stim/wordclouds/concept151_obligation_wordcloud6,Obligation,6,65
6,stim/wordclouds/concept081_weak_wordcloud3,Weak,3,70
6,stim/wordclouds/concept099_art_wordcloud1,Art,1,75
6,stim/wordclouds/concept002_collection_wordcloud1,Collection,1,80
6,stim/wordclouds/concept044_mountain_wordcloud6,Mountain,6,85
6,stim/wordclouds/concept141_land_wordcloud3,Land,3,90
6,stim/wordclouds/concept056_argument_wordcloud3,Argument,3,95
6,stim/wordclouds/concept051_hair_wordcloud2,Hair,2,100
6,stim/wordclouds/concept060_science_wordcloud6,Science,6,105
6,stim/wordclouds/concept052_investigation_wordcloud3,Investigation,3,110
6,stim/wordclouds/concept139_mathematical_wordcloud4,Mathematical,4,115
6,stim/wordclouds/concept023_poor_wordcloud5,Poor,5,120
6,stim/wordclouds/concept041_star_wordcloud6,Star,6,125
6,stim/wordclouds/concept046_nation_wordcloud5,Nation,5,130
6,stim/wordclouds/concept179_code_wordcloud5,Code,5,135
6,stim/wordclouds/concept025_show_wordcloud4,Show,4,140
6,stim/wordclouds/concept027_beer_wordcloud1,Beer,1,145
6,stim/wordclouds/concept058_fish_wordcloud5,Fish,5,150
6,stim/wordclouds/concept103_emotion_wordcloud1,Emotion,1,155
6,stim/wordclouds/concept053_tried_wordcloud6,Tried,6,160
6,stim/wordclouds/concept071_jungle_wordcloud5,Jungle,5,165
6,stim/wordclouds/concept018_applause_wordcloud4,Applause,4,170
6,stim/wordclouds/concept135_blood_wordcloud6,Blood,6,175
6,stim/wordclouds/concept148_dinner_wordcloud6,Dinner,6,180
