run,stimulus,concept,stimulus_idx,onset
6,stim/sentences/concept027_Show_sentence2.jpg,Show,2,10
6,stim/sentences/concept038_Sew_sentence2.jpg,Sew,2,15
6,stim/sentences/concept112_Trial_sentence1.jpg,Trial,1,20
6,stim/sentences/concept107_Movie_sentence5.jpg,Movie,5,25
6,stim/sentences/concept157_Money_sentence4.jpg,Money,4,30
6,stim/sentences/concept012_Dedication_sentence1.jpg,Dedication,1,35
6,stim/sentences/concept047_Burn_sentence2.jpg,Burn,2,40
6,stim/sentences/concept122_Music_sentence1.jpg,Music,1,45
6,stim/sentences/concept023_Broken_sentence5.jpg,Broken,5,50
6,stim/sentences/concept045_Nation_sentence6.jpg,Nation,6,55
6,stim/sentences/concept094_Deliberately_sentence5.jpg,Deliberately,5,60
6,stim/sentences/concept106_Smart_sentence2.jpg,Smart,2,65
6,stim/sentences/concept129_Read_sentence5.jpg,Read,5,70
6,stim/sentences/concept109_Electron_sentence6.jpg,Electron,6,75
6,stim/sentences/concept003_Beat_sentence6.jpg,Beat,6,80
6,stim/sentences/concept013_Great_sentence1.jpg,Great,1,85
6,stim/sentences/concept179_Argumentatively_sentence1.jpg,Argumentatively,1,90
6,stim/sentences/concept075_Attitude_sentence6.jpg,Attitude,6,95
6,stim/sentences/concept121_Skin_sentence2.jpg,Skin,2,100
6,stim/sentences/concept019_Bed_sentence4.jpg,Bed,4,105
6,stim/sentences/concept048_Solution_sentence6.jpg,Solution,6,110
6,stim/sentences/concept066_Weather_sentence1.jpg,Weather,1,115
6,stim/sentences/concept069_Sugar_sentence4.jpg,Sugar,4,120
6,stim/sentences/concept002_Bird_sentence1.jpg,Bird,1,125
6,stim/sentences/concept167_Sin_sentence1.jpg,Sin,1,130
6,stim/sentences/concept051_Investigation_sentence6.jpg,Investigation,6,135
6,stim/sentences/concept079_Driver_sentence1.jpg,Driver,1,140
6,stim/sentences/concept043_Mountain_sentence4.jpg,Mountain,4,145
6,stim/sentences/concept169_Elegance_sentence3.jpg,Elegance,3,150
6,stim/sentences/concept128_Job_sentence3.jpg,Job,3,155
6,stim/sentences/concept133_Help_sentence1.jpg,Help,1,160
6,stim/sentences/concept173_Computer_sentence1.jpg,Computer,1,165
6,stim/sentences/concept065_Dessert_sentence6.jpg,Dessert,6,170
6,stim/sentences/concept141_Damage_sentence3.jpg,Damage,3,175
6,stim/sentences/concept118_Gold_sentence3.jpg,Gold,3,180
6,stim/sentences/concept055_Argument_sentence5.jpg,Argument,5,185
6,stim/sentences/concept153_Level_sentence2.jpg,Level,2,190
6,stim/sentences/concept020_Challenge_sentence3.jpg,Challenge,3,195
6,stim/sentences/concept057_Fish_sentence3.jpg,Fish,3,200
6,stim/sentences/concept014_Illness_sentence3.jpg,Illness,3,205
6,stim/sentences/concept160_Material_sentence2.jpg,Material,2,210
6,stim/sentences/concept164_Mechanism_sentence5.jpg,Mechanism,5,215
6,stim/sentences/concept050_Hair_sentence3.jpg,Hair,3,220
6,stim/sentences/concept142_Religious_sentence2.jpg,Religious,2,225
6,stim/sentences/concept158_Engine_sentence5.jpg,Engine,5,230
6,stim/sentences/concept072_Lady_sentence5.jpg,Lady,5,245
6,stim/sentences/concept004_Vacation_sentence4.jpg,Vacation,4,250
6,stim/sentences/concept042_Experiment_sentence5.jpg,Experiment,5,255
6,stim/sentences/concept005_Bar_sentence5.jpg,Bar,5,260
6,stim/sentences/concept100_Unaware_sentence3.jpg,Unaware,3,265
6,stim/sentences/concept096_Tool_sentence2.jpg,Tool,2,270
6,stim/sentences/concept032_Dance_sentence2.jpg,Dance,2,275
6,stim/sentences/concept134_Blood_sentence5.jpg,Blood,5,280
6,stim/sentences/concept098_Art_sentence4.jpg,Art,4,285
6,stim/sentences/concept016_Protection_sentence1.jpg,Protection,1,290
6,stim/sentences/concept178_Code_sentence3.jpg,Code,3,295
6,stim/sentences/concept077_Charity_sentence2.jpg,Charity,2,300
6,stim/sentences/concept007_Useless_sentence6.jpg,Useless,6,305
6,stim/sentences/concept150_Obligation_sentence1.jpg,Obligation,1,310
6,stim/sentences/concept056_Business_sentence2.jpg,Business,2,315
6,stim/sentences/concept052_Tried_sentence3.jpg,Tried,3,320
6,stim/sentences/concept177_Ignorance_sentence3.jpg,Ignorance,3,325
6,stim/sentences/concept154_Extremely_sentence2.jpg,Extremely,2,330
6,stim/sentences/concept168_Ship_sentence5.jpg,Ship,5,335
6,stim/sentences/concept115_Apartment_sentence1.jpg,Apartment,1,340
6,stim/sentences/concept131_Stupid_sentence3.jpg,Stupid,3,345
6,stim/sentences/concept081_Plant_sentence2.jpg,Plant,2,350
6,stim/sentences/concept068_Spoke_sentence5.jpg,Spoke,5,355
6,stim/sentences/concept085_Successful_sentence5.jpg,Successful,5,360
6,stim/sentences/concept175_Smiling_sentence2.jpg,Smiling,2,365
6,stim/sentences/concept030_Kindness_sentence6.jpg,Kindness,6,370
6,stim/sentences/concept124_Left_sentence4.jpg,Left,4,375
6,stim/sentences/concept116_Building_sentence6.jpg,Building,6,380
6,stim/sentences/concept084_Texture_sentence6.jpg,Texture,6,385
6,stim/sentences/concept165_Liar_sentence1.jpg,Liar,1,390
6,stim/sentences/concept110_Student_sentence2.jpg,Student,2,395
6,stim/sentences/concept053_Dig_sentence6.jpg,Dig,6,400
6,stim/sentences/concept171_Word_sentence1.jpg,Word,1,405
6,stim/sentences/concept108_Movement_sentence1.jpg,Movement,1,410
6,stim/sentences/concept044_Pig_sentence5.jpg,Pig,5,415
6,stim/sentences/concept102_Emotion_sentence5.jpg,Emotion,5,420
6,stim/sentences/concept033_Magic_sentence4.jpg,Magic,4,425
6,stim/sentences/concept095_Deceive_sentence3.jpg,Deceive,3,430
6,stim/sentences/concept082_Willingly_sentence3.jpg,Willingly,3,435
6,stim/sentences/concept006_Taste_sentence5.jpg,Taste,5,440
6,stim/sentences/concept091_Medication_sentence5.jpg,Medication,5,445
6,stim/sentences/concept026_Bag_sentence2.jpg,Bag,2,450
6,stim/sentences/concept080_Weak_sentence2.jpg,Weak,2,455
6,stim/sentences/concept074_Sell_sentence4.jpg,Sell,4,460
6,stim/sentences/concept172_Team_sentence4.jpg,Team,4,465
8,stim/sentences/concept170_Residence_sentence2.jpg,Residence,2,10
8,stim/sentences/concept036_Emotionally_sentence3.jpg,Emotionally,3,15
8,stim/sentences/concept152_Disease_sentence6.jpg,Disease,6,20
8,stim/sentences/concept061_Bear_sentence6.jpg,Bear,6,25
8,stim/sentences/concept018_Silly_sentence1.jpg,Silly,1,30
8,stim/sentences/concept088_Carefully_sentence4.jpg,Carefully,4,35
8,stim/sentences/concept149_Fight_sentence5.jpg,Fight,5,40
8,stim/sentences/concept040_Star_sentence5.jpg,Star,5,45
8,stim/sentences/concept090_Time_sentence3.jpg,Time,3,50
8,stim/sentences/concept093_Philosophy_sentence3.jpg,Philosophy,3,55
8,stim/sentences/concept105_Play_sentence6.jpg,Play,6,60
8,stim/sentences/concept104_Suspect_sentence2.jpg,Suspect,2,65
8,stim/sentences/concept146_Quality_sentence4.jpg,Quality,4,70
8,stim/sentences/concept144_Tree_sentence3.jpg,Tree,3,75
8,stim/sentences/concept059_Science_sentence4.jpg,Science,4,80
8,stim/sentences/concept125_War_sentence6.jpg,War,6,85
8,stim/sentences/concept140_Land_sentence5.jpg,Land,5,90
8,stim/sentences/concept161_Toy_sentence1.jpg,Toy,1,95
8,stim/sentences/concept010_Dog_sentence6.jpg,Dog,6,100
8,stim/sentences/concept126_Personality_sentence2.jpg,Personality,2,105
8,stim/sentences/concept119_Typical_sentence1.jpg,Typical,1,110
8,stim/sentences/concept083_Professional_sentence5.jpg,Professional,5,115
8,stim/sentences/concept017_Crazy_sentence2.jpg,Crazy,2,120
8,stim/sentences/concept155_Reaction_sentence1.jpg,Reaction,1,125
8,stim/sentences/concept132_Sound_sentence5.jpg,Sound,5,130
8,stim/sentences/concept062_Ball_sentence6.jpg,Ball,6,135
8,stim/sentences/concept089_Doctor_sentence1.jpg,Doctor,1,140
8,stim/sentences/concept145_Accomplished_sentence3.jpg,Accomplished,3,145
8,stim/sentences/concept024_Garbage_sentence6.jpg,Garbage,6,150
8,stim/sentences/concept067_King_sentence3.jpg,King,3,155
8,stim/sentences/concept076_Soul_sentence2.jpg,Soul,2,160
8,stim/sentences/concept015_Prison_sentence4.jpg,Prison,4,165
8,stim/sentences/concept135_Wear_sentence6.jpg,Wear,6,170
8,stim/sentences/concept064_Invention_sentence5.jpg,Invention,5,175
8,stim/sentences/concept073_Ability_sentence4.jpg,Ability,4,180
8,stim/sentences/concept039_Sad_sentence4.jpg,Sad,4,185
8,stim/sentences/concept162_Plan_sentence5.jpg,Plan,5,190
8,stim/sentences/concept120_Law_sentence1.jpg,Law,1,195
8,stim/sentences/concept035_Charming_sentence3.jpg,Charming,3,200
8,stim/sentences/concept139_Brain_sentence5.jpg,Brain,5,205
8,stim/sentences/concept103_Device_sentence1.jpg,Device,1,210
8,stim/sentences/concept099_Construction_sentence6.jpg,Construction,6,215
8,stim/sentences/concept087_Dressing_sentence5.jpg,Dressing,5,220
8,stim/sentences/concept123_Hurting_sentence4.jpg,Hurting,4,225
