run,stimulus,concept,stimulus_idx,onset
8,stim/images/Jungle/jungle_2.jpg,Jungle,2,10
8,stim/images/Medication/medication_2.jpg,Medication,2,15
8,stim/images/Tree/tree_2.jpg,Tree,2,20
8,stim/images/Land/land_2.jpg,Land,2,25
8,stim/images/Religious/religious_4.jpg,Religious,4,30
8,stim/images/Experiment/experiment_1.jpg,Experiment,1,35
8,stim/images/Movement/movement_5.jpg,Movement,5,40
8,stim/images/Lady/lady_1.jpg,Lady,1,45
8,stim/images/Obligation/obligation_3.jpg,Obligation,3,50
8,stim/images/Sugar/sugar_3.jpg,Sugar,3,55
8,stim/images/Deceive/deceive_3.jpg,Deceive,3,60
8,stim/images/Food/food_6.jpg,Food,6,65
8,stim/images/Invisible/invisible_4.jpg,Invisible,4,70
8,stim/images/Beer/beer_3.jpg,Beer,3,75
8,stim/images/Bed/bed_4.jpg,Bed,4,80
8,stim/images/Unaware/unaware_5.jpg,Unaware,5,85
8,stim/images/Bird/bird_1.jpg,Bird,1,90
8,stim/images/Argument/argument_1.jpg,Argument,1,95
8,stim/images/Material/material_5.jpg,Material,5,100
8,stim/images/Challenge/challenge_2.jpg,Challenge,2,105
8,stim/images/Left/left_3.jpg,Left,3,110
8,stim/images/Apartment/apartment_1.jpg,Apartment,1,115
8,stim/images/Feeling/feeling_2.jpg,Feeling,2,120
8,stim/images/Gun/gun_1.jpg,Gun,1,125
8,stim/images/Sew/sew_5.jpg,Sew,5,130
8,stim/images/Mechanism/mechanism_3.jpg,Mechanism,3,135
8,stim/images/Law/law_4.jpg,Law,4,140
8,stim/images/Carefully/carefully_5.jpg,Carefully,5,145
8,stim/images/Disease/disease_3.jpg,Disease,3,150
8,stim/images/Marriage/marriage_5.jpg,Marriage,5,155
8,stim/images/Wear/wear_2.jpg,Wear,2,160
8,stim/images/Camera/camera_6.jpg,Camera,6,165
8,stim/images/Bear/bear_3.jpg,Bear,3,170
8,stim/images/Collection/collection_4.jpg,Collection,4,175
8,stim/images/Business/business_4.jpg,Business,4,180
8,stim/images/Personality/personality_5.jpg,Personality,5,185
8,stim/images/Gold/gold_1.jpg,Gold,1,190
8,stim/images/War/war_3.jpg,War,3,195
8,stim/images/Crazy/crazy_2.jpg,Crazy,2,200
8,stim/images/Flow/flow_6.jpg,Flow,6,205
8,stim/images/Mountain/mountain_2.jpg,Mountain,2,210
8,stim/images/Dessert/dessert_6.jpg,Dessert,6,215
8,stim/images/Ability/ability_3.jpg,Ability,3,220
8,stim/images/Code/code_3.jpg,Code,3,225
8,stim/images/Vacation/vacation_6.jpg,Vacation,6,230
8,stim/images/Wash/wash_5.jpg,Wash,5,245
8,stim/images/Accomplished/accomplished_5.jpg,Accomplished,5,250
8,stim/images/Brain/brain_2.jpg,Brain,2,255
8,stim/images/Toy/toy_6.jpg,Toy,6,260
8,stim/images/Plant/plant_6.jpg,Plant,6,265
8,stim/images/Mathematical/mathematical_4.jpg,Mathematical,4,270
8,stim/images/Table/table_3.jpg,Table,3,275
8,stim/images/Word/word_4.jpg,Word,4,280
8,stim/images/Emotionally/emotionally_2.jpg,Emotionally,2,285
8,stim/images/Argumentatively/argumentatively_6.jpg,Argumentatively,6,290
8,stim/images/Protection/protection_1.jpg,Protection,1,295
8,stim/images/Job/job_3.jpg,Job,3,300
8,stim/images/Weather/weather_3.jpg,Weather,3,305
8,stim/images/Sell/sell_5.jpg,Sell,5,310
8,stim/images/Taste/taste_3.jpg,Taste,3,315
8,stim/images/Body/body_5.jpg,Body,5,320
8,stim/images/Ball/ball_6.jpg,Ball,6,325
8,stim/images/Money/money_6.jpg,Money,6,330
8,stim/images/Reaction/reaction_5.jpg,Reaction,5,335
8,stim/images/Magic/magic_6.jpg,Magic,6,340
8,stim/images/Building/building_4.jpg,Building,4,345
8,stim/images/Nation/nation_2.jpg,Nation,2,350
8,stim/images/Sin/sin_1.jpg,Sin,1,355
8,stim/images/Investigation/investigation_4.jpg,Investigation,4,360
8,stim/images/Time/time_4.jpg,Time,4,365
8,stim/images/Spoke/spoke_5.jpg,Spoke,5,370
8,stim/images/Skin/skin_5.jpg,Skin,5,375
8,stim/images/Device/device_3.jpg,Device,3,380
8,stim/images/Movie/movie_3.jpg,Movie,3,385
8,stim/images/Road/road_4.jpg,Road,4,390
8,stim/images/Kindness/kindness_3.jpg,Kindness,3,395
8,stim/images/Dangerous/dangerous_5.jpg,Dangerous,5,400
8,stim/images/Picture/picture_2.jpg,Picture,2,405
8,stim/images/Useless/useless_2.jpg,Useless,2,410
8,stim/images/Show/show_2.jpg,Show,2,415
8,stim/images/Dissolve/dissolve_4.jpg,Dissolve,4,420
8,stim/images/Damage/damage_2.jpg,Damage,2,425
8,stim/images/Dog/dog_5.jpg,Dog,5,430
8,stim/images/Dig/dig_5.jpg,Dig,5,435
8,stim/images/Dinner/dinner_5.jpg,Dinner,5,440
8,stim/images/Usable/usable_4.jpg,Usable,4,445
8,stim/images/Help/help_1.jpg,Help,1,450
8,stim/images/Bar/bar_5.jpg,Bar,5,455
8,stim/images/Burn/burn_3.jpg,Burn,3,460
8,stim/images/Silly/silly_1.jpg,Silly,1,465
10,stim/images/Computer/computer_6.jpg,Computer,6,10
10,stim/images/Impress/impress_3.jpg,Impress,3,15
10,stim/images/Sad/sad_5.jpg,Sad,5,20
10,stim/images/Sign/sign_2.jpg,Sign,2,25
10,stim/images/King/king_3.jpg,King,3,30
10,stim/images/Level/level_3.jpg,Level,3,35
10,stim/images/Attitude/attitude_3.jpg,Attitude,3,40
10,stim/images/Pleasure/pleasure_4.jpg,Pleasure,4,45
10,stim/images/Disturb/disturb_1.jpg,Disturb,1,50
10,stim/images/Beat/beat_1.jpg,Beat,1,55
10,stim/images/Tool/tool_5.jpg,Tool,5,60
